key,email,foundation_moment,iata,name,phone_number,type,website
# base entity
airline-01,acme@lorem-ipsum.org,2012/07/02 0:00,ABX,Lorem ipsum dolor sit ame,123456,LOW_COST,https://www.fakeweb1.com
# email - standard variations
airline-02,acme@lorem-ipsum.org,2012/07/02 0:00,ACX,Lorem ipsum dolor sit ame,123456,LOW_COST,https://www.fakeweb2.com
airline-03,a@b.e,2012/07/02 0:00,AEX,Lorem ipsum dolor sit ame,123456,LOW_COST,https://www.fakeweb4.com
airline-04,a@b.es,2012/07/02 0:00,AFX,Lorem ipsum dolor sit ame,123456,LOW_COST,https://www.fakeweb5.com
airline-05,a@b.esx,2012/07/02 0:00,AGX,Lorem ipsum dolor sit ame,123456,LOW_COST,https://www.fakeweb6.com
airline-06,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.doloris.edu,2012/07/02 0:00,CLX,Lorem ipsum dolor sit ame,123456,LOW_COST,https://www.skywings.com
airline-07,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.es.org,2012/07/02 0:00,COX,Lorem ipsum dolor sit ame,123456,LOW_COST,https://www.clau.com
# foundation - standard variations,""
airline-08,acme@lorem-ipsum.org,2000/01/01 0:00,AJX,Lorem ipsum dolor sit ame,123456,LOW_COST,https://www.fakeweb1.com
airline-09,acme@lorem-ipsum.org,2000/01/01 0:01,AKX,Lorem ipsum dolor sit ame,123456,LOW_COST,https://www.fakeweb1.com
airline-10,acme@lorem-ipsum.org,2024/12/31 23:59,ALX,Lorem ipsum dolor sit ame,123456,LOW_COST,https://www.fakeweb1.com
airline-54,acme@lorem-ipsum.org,2024/12/31 00:00,AZX,Lorem ipsum dolor sit ame,123456,LOW_COST,https://www.fakeweb1.com
# name - standard variations,"","","","",""
airline-11,acme@lorem-ipsum.org,2012/07/02 0:00,AMX,Lorem ipsum dolor sit ame,123456,LOW_COST,https://www.fakeweb.com
airline-12,acme@lorem-ipsum.org,2012/07/02 0:00,ANX,L,123456,LOW_COST,https://www.fakeweb.com
airline-13,acme@lorem-ipsum.org,2012/07/02 0:00,AOX,Lo,123456,LOW_COST,https://www.fakeweb.com
airline-14,acme@lorem-ipsum.org,2012/07/02 0:00,APX,"Lorem ipsum dolor sit amet, consectetur adipiscin",123456,LOW_COST,http://lorem.com/ipsum
airline-15,acme@lorem-ipsum.org,2012/07/02 0:00,XXX,"Lorem ipsum dolor sit amet, consectetur adipiscing",123456,LOW_COST,http://lorem.com/ipsum
airline-16,acme@lorem-ipsum.org,2012/07/02 0:00,XCX,โลเร็ม อิปซัม,123456,LOW_COST,http://lorem.com/ipsum
airline-17,acme@lorem-ipsum.org,2012/07/02 0:00,XNX,لوريم إيبسوم,123456,LOW_COST,http://lorem.com/ipsum
airline-18,acme@lorem-ipsum.org,2012/07/02 0:00,XMX,洛伦·伊普森,123456,LOW_COST,https://www.fakeweb.com
airline-19,acme@lorem-ipsum.org,2012/07/02 0:00,XJX,<marquee>Hacked</marquee>,123456,LOW_COST,http://lorem.com/ipsum
airline-20,acme@lorem-ipsum.org,2012/07/02 0:00,XTX,<script>alert(‘Hacked!’);</script>,123456,LOW_COST,http://lorem.com/ipsum
airline-53,acme@lorem-ipsum.org,2012/07/02 0:00,XRX,' or 'A' = 'A,123456,LOW_COST,http://lorem.com/ipsum
# website variations
airline-21,acme@lorem-ipsum.org,2012/07/02 0:00,SJX, consectetur adipiscin,123456,LOW_COST,http://lorem.com/ipsum
