key,airportName,IATACode,operationalScope,city,country,website,email,contactPhoneNumber
# Base entity
airport-00,"Lorem ipsum dolor sit ame",UWA,INTERNATIONAL,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org",+41840843849
# Name variation
airport-01,"L",UWB,INTERNATIONAL,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org",+41840843849
airport-02,"Lo",UWC,INTERNATIONAL,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org",+41840843849
airport-03,"Lorem ipsum dolor sit amet, consectetur adipiscin",UWD,INTERNATIONAL,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org",+41840843849
airport-04,"Lorem ipsum dolor sit amet, consectetur adipiscing",UWE,INTERNATIONAL,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org",+41840843849
airport-05,"โลเร็ม อิปซัม",UWF,INTERNATIONAL,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org",+41840843849
airport-06,"لوريم إيبسوم",UWG,INTERNATIONAL,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org",+41840843849
airport-07,"洛伦·伊普森",UWH,INTERNATIONAL,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org",+41840843849
airport-08,"<marquee>Hacked</marquee>",UWI,INTERNATIONAL,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org",+41840843849
airport-09,"<script>alert(‘Hacked!’);</script>",UWJ,INTERNATIONAL,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org",+41840843849
airport-10,"' or 'A' = 'A ",UWK,INTERNATIONAL,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org",+41840843849
# IATA variations
airport-11,"Lorem ipsum dolor sit ame",SAI,INTERNATIONAL,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org",+41840843849
airport-12,"Lorem ipsum dolor sit ame",NDR,INTERNATIONAL,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org",+41840843849
airport-13,"Lorem ipsum dolor sit ame",JVD,INTERNATIONAL,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org",+41840843849
airport-14,"Lorem ipsum dolor sit ame",IRV,INTERNATIONAL,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org",+41840843849
airport-15,"Lorem ipsum dolor sit ame",OPQ,INTERNATIONAL,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org",+41840843849
# Scope variation
airport-16,"Lorem ipsum dolor sit ame",UWL,INTERNATIONAL,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org",+41840843849
airport-17,"Lorem ipsum dolor sit ame",UWM,DOMESTIC,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org",+41840843849
airport-18,"Lorem ipsum dolor sit ame",UWN,REGIONAL,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org",+41840843849
# City variations
airport-19,"Lorem ipsum dolor sit ame",UWO,INTERNATIONAL,"L","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org",+41840843849
airport-20,"Lorem ipsum dolor sit ame",UWP,INTERNATIONAL,"Lo","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org",+41840843849
airport-21,"Lorem ipsum dolor sit ame",UWQ,INTERNATIONAL,"Lorem ipsum dolor sit amet, consectetur adipiscin","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org",+41840843849
