key,maintenance_moment,status,next_inspection_due,estimated_cost,notes,draftMode,key:aircraft,key:technician
# Base entity
maintenance-record-01,2012/07/02 0:00,COMPLETED,2026/09/01 10:00,EUR 500000.00,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",true,aircraft-01,technician-01
# Maintenance moment variations
maintenance-record-02,2000/01/01 0:00,COMPLETED,2026/09/01 10:00,EUR 500000.00,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",true,aircraft-01,technician-01
maintenance-record-03,2000/01/01 0:01,COMPLETED,2026/09/01 10:00,EUR 500000.00,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",true,aircraft-01,technician-01
maintenance-record-04,2024/12/31 23:59,COMPLETED,2026/09/01 10:00,EUR 500000.00,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",false,aircraft-01,technician-01
maintenance-record-05,2025/01/01 0:00,COMPLETED,2026/09/01 10:00,EUR 500000.00,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",false,aircraft-01,technician-01
# Status variations
maintenance-record-06,2012/07/02 0:00,PENDING,2026/09/01 10:00,EUR 500000.00,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",false,aircraft-01,technician-01
maintenance-record-07,2012/07/02 0:00,IN_PROGRESS,2026/09/01 10:00,EUR 500000.00,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",false,aircraft-01,technician-01
maintenance-record-08,2012/07/02 0:00,COMPLETED,2026/09/01 10:00,EUR 500000.00,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",false,aircraft-01,technician-01
# Next Inspection variations
maintenance-record-09,2012/07/02 0:00,COMPLETED,2025/01/01 00:00,EUR 500000.00,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",false,aircraft-01,technician-01
maintenance-record-10,2012/07/02 0:00,COMPLETED,2025/01/01 00:01,EUR 500000.00,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",false,aircraft-01,technician-01
maintenance-record-11,2012/07/02 0:00,COMPLETED,2200/12/31 23:58,EUR 500000.00,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",false,aircraft-01,technician-01
maintenance-record-12,2012/07/02 0:00,COMPLETED,2200/12/31 23:59,EUR 500000.00,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",false,aircraft-01,technician-01
# EstimatedCost variations
maintenance-record-13,2012/07/02 0:00,COMPLETED,2026/09/01 10:00,EUR 00.00,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",false,aircraft-01,technician-01
maintenance-record-14,2012/07/02 0:00,IN_PROGRESS,2026/09/01 10:00,EUR 0.01,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",false,aircraft-01,technician-01
maintenance-record-15,2012/07/02 0:00,PENDING,2026/09/01 10:00,EUR 999999.99,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",false,aircraft-01,technician-01
maintenance-record-16,2012/07/02 0:00,COMPLETED,2026/09/01 10:00,EUR 1000000.00,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",false,aircraft-01,technician-01
# Notes variations
maintenance-record-17,2012/07/02 0:00,PENDING,2026/09/01 10:00,EUR 500000.00,L,false,aircraft-01,technician-01
maintenance-record-18,2012/07/02 0:00,IN_PROGRESS,2026/09/01 10:00,EUR 500000.00,Lo,false,aircraft-01,technician-01
